name;description;tel;email;url;address;city;zipcode;country_code;country;lattitude;longitude;opening_hours;foursquare_vid;last_updated;;;;;;;;;
Animaux galerie;"Two beautiful wearhouses on the Westelijk Handelsterrein in Rotterdam appear destined for the work that hangs there; paintings by artists such as Eugène Brands, Rob Scholte, Jan Cremer, and many more.";010 243 0043;galerie@animaux.nl;http://www.animaux.nl/galerie/;"Westelijk Handelsterrein
Pakhuis 35 & 36
Van Vollenhovenstraat 15
";Rotterdam;3016 BE Rotterdam ;NL;Netherlands;51.910.092;4.477.646;;49909e37-e238-46ff-84b0-590a5e4cc744;6 mrt 2010 16:31;;;;;;;;;
TENT;TENT. is a 1000 m2 exhibition space in Rotterdam, which offers a programme of visual arts focused on the significance of location and context;+31 (0)10 413 5498;;http://www.tentrotterdam.nl/;"Witte de Wit Straat 50

";Rotterdam;3012BR Rotterdam;NL;Netherlands;51.922.690;4.470.787;;4990a142-cae4-40b9-a761-59255e4cc744;3 sep 2009 15:45;;;;;;;;;
ROODKAPJE;Roodkapje works with young artists with new ideas. Within art and its scenes are several developments going on. Much of these developments return just years later in the mainstream culture. Roodkapje presents these developments.;010 2439800;roodkapje@roodkapje.org;http://www.roodkapje.org;"Doedesstraat 67
";Rotterdam;3022 VD ;NL;Netherlands;51.917.537;4.449.669;;4990bce4-8c58-41fb-b23c-5bd65e4cc744;6 mrt 2010 16:46;;;;;;;;;
Witte de With;Witte de With was established in 1990 as a center for contemporary art with the mission of introducing contemporary art and theory in the context of the City of Rotterdam as well as the Netherlands as a whole.;+31 (0)10 4110144;info@wdw.nl;http://www.wdw.nl/;Witte de Withstraat 50;Rotterdam;3012 BR;NL;Netherlands;51.915.503;4.476.754;;4990c69a-e3b4-41a2-8f4d-5d475e4cc744;27 jul 2009 19:05;;;;;;;;;
Singer Sweatshop;The Singer Sweat Shop is a new cultural hot-spot in the center of Rotterdam (NL) where young artists from various fields have their studios and organize exhibitions, events, workshops, parties, high teas, film nights, and promote gezelligheid of the highest level!;;info@singersweatshop.nl;http://www.singersweatshop.nl;Hoogstraat 170;Rotterdam;3011 PV;NL;Netherlands;51.920.641;4.484.393;;4990cabb-6a2c-4ad6-9626-5d015e4cc744;6 mrt 2010 16:50;;;;;;;;;
VIVID vormgeving;;+31 10 413 6321;info@vividvormgeving.nl;http://www.vividvormgeving.nl/;William Boothlaan 17a;Rotterdam;3012 VH;NL;Netherlands;51.915.187;4.478.996;;49919b80-1048-4a9f-9207-65385e4cc744;6 mrt 2010 16:51;;;;;;;;;
BLAAK10 Willem de Kooning Academie Galerie;Gallery that shows work of students from Willem de Kooning Academie.;010-2809251;wdka.blaak10@hro.nl;http://www.blaak10.nl/;Witte De Withstraat 7;Rotterdam;3012;NL;Netherlands;51.916.237;4.479.608;di t/m zo 11.00-18.00 uur;49919e84-8c6c-4b05-85b5-65625e4cc744;6 mrt 2010 16:31;;;;;;;;;
Chabot Museum;;;;http://www.chabotmuseum.nl/;Museumpark 11;Rotterdam;3015;NL;Netherlands;51.914.547;4.472.717;;49919ef9-642c-4c60-8639-654a5e4cc744;24 jan 2010 12:40;;;;;;;;;
Contempo galerie;;;;;Breitnerstraat 46;Rotterdam;3015;NL;Netherlands;51.915.307;4.468.356;;49919f25-01d0-4e1a-ab10-654a5e4cc744;6 mrt 2010 16:33;;;;;;;;;
Fotoacademie, Fotoschool en Fotogalerie Rotterdam;A photography school, academy and gallery for students of the photography school. ;(010) 201 29 09;infortd@fotoschool.nl;http://www.fotoschool.nl/;Conradstraat 20;Rotterdam;3013 AP ;NL;Netherlands;51.923.681;4.468.174;;49919f4b-6e60-463f-9279-654a5e4cc744;6 mrt 2010 16:36;;;;;;;;;
Voorhaven ONE;;;;;Voorhaven 1b;Rotterdam;3025;NL;Netherlands;51.908.391;4.448.161;;4991a048-f1ac-4360-838b-654a5e4cc744;6 mrt 2010 16:51;;;;;;;;;
Goethe-Institut Rotterdam;;+31 10 2092090 ;info@rotterdam.goethe.org ;http://www.goethe.de/ins/nl/ams/nlindex.htm;Westersingel 9;Rotterdam;3014 GM;NL;Netherlands;51.920.175;4.471.528;;4991a081-5960-404d-8dcf-654a5e4cc744;28 feb 2009 12:50;;;;;;;;;
Historisch Museum Rotterdam - Het Schielandshuis;;010 217 67 67 ;info@hmr.rotterdam.nl;http://www.historischmuseumrotterdam.nl/;Korte Hoogstraat 31;Rotterdam;3011 GK ;NL;Netherlands;51.918.803;4.482.218;"Open: Tuesday to and including Sundays and Holidays  11.00-17.00 
Closed: Mondays
and on dates:
1 January, 30 april and 25 December ";4991a0a7-ada8-437e-9ddf-654a5e4cc744;24 jan 2010 13:30;;;;;;;;;
Internationale Beelden Collectie;;;;http://www.sculptureinternationalrotterdam.nl;Westersingel 18;Rotterdam;3014;NL;Netherlands;51.919.583;4.471.624;;4991a0c9-fa20-4b91-a1c6-654a5e4cc744;6 mrt 2010 16:38;;;;;;;;;
MAMA;"MAMA is a project of the Public Art Squad foundation. It is a publicly funded visual arts and culture organisation based in Rotterdam. Programming exhibitions not only in it's own project space on Rotterdam's \cultural axis\"" Witte de Withstraat";" but also far beyond their own premises.""";(0)10 2332022;;http://www.showroommama.nl;Witte de Withstraat 29-31;Rotterdam;3001 KB;NL;Netherlands;51.915.827;4.478.051;"Wednesday through Sunday 
from 13.00 - 18.00 and by appointment.";4991a118-eb48-4566-aaec-65625e4cc744;27 jul 2009 16:07;;;;;;;;
NAi: Nederlands Architectuur instituut;The Netherlands Architecture Institute (NAI) is more than a museum of architecture. It is a above all a cultural institute which is open to the public and which uses a variety of methods for communicating about the shaping of human space. ;+31 (0)10 4401200;info@nai.nl;http://www.nai.nl/;Museumpark 25;Rotterdam;3015 CB ;NL;Netherlands;51.914.285;4.471.572;;4991a1c4-a5d8-449e-8860-654a5e4cc744;24 jan 2010 12:40;;;;;;;;;
NieuweOntwerpers.nl;"NieuweOntwerpers.nl is in maart 2000 onder de naam: Stichting Promotie Nieuwe Ontwerpers, opgezet. Doelstelling van NieuweOntwerpers.nl is; dat ontwerpers zonder hoge investeringen hun collecties kunnen presenteren / verkopen aan de consument. Vele ontwerpers hebben inmiddels hun collecties gepresenteerd en verkocht. Naast het presenteren van collecties en accessoires zijn er regelmatig diverse exposities die een link hebben met mode.";+31 (0)10 212 41 50 ;info@nieuweontwerpers.nl;http://www.nieuweontwerpers.nl/;William Boothlaan 13a;Rotterdam;3012;NL;Netherlands;51.915.387;4.478.868;;4991a279-fb08-4418-b28a-65625e4cc744;6 mrt 2010 16:44;;;;;;;;;
Salle DEMAIN;Salle DEMAIN is a space for artists to collaborate. We consider encounter and exchange essential for art to come alive;;;http://www.salledemain.nl/;Mauritsstraat 167;Rotterdam;3012 CH;NL;Netherlands;51.918.607;4.474.251;;4991a2d8-88bc-47f0-a848-654a5e4cc744;6 mrt 2010 16:46;;;;;;;;;
V2_, Instituut voor de instabiele media;V2_, Institute for the Unstable Media, is an interdisciplinary center for art and media technology in Rotterdam (the Netherlands). Founded in 1981, V2_ is an organization that concerns itself with research and development in the field of art and media technology. V2_'s activities include organizing (public) presentations, research in its own media lab, publishing, developing an online archive and a shop offering products that are related to V2_'s area of interest. ;+31 10 206 7272;v2@v2.nl;http://www.v2.nl/;Eendrachtsstraat 10;Rotterdam;3012;NL;Netherlands;51.915.304;4.476.146;;4991af8d-8020-4ae0-b2f3-654a5e4cc744;6 mrt 2010 16:50;;;;;;;;;
Las Palmas;LPII, Nederlands Fotomuseum, SKVR en SKVR Beeldfabriek.;;;http://www.inlaspalmas.nl/;Wilhelminakade 320-326-332;Rotterdam;;NL;Netherlands;51.906.837;4.489.202;;4992b583-4148-4b1a-a8b4-772a5e4cc744;6 mrt 2010 16:39;;;;;;;;;
Het Oogziekenhuis Rotterdam - Ooghuis;;+31 (0)10 - 401 77 77;info@oogziekenhuis.nl;http://www.oogziekenhuis.nl;Schiedamse Vest 180;Rotterdam;3011 BH;NL;Netherlands;51.915.094;4.479.822;;499b33a1-bd24-41d8-881a-47205e4cc744;6 mrt 2010 16:37;;;;;;;;;
Villa Zebra;Villa Zebra creates visual art exhibitions for children between 4 and 12 years old. Villa Zebra seeks to stimulate creativity and curiosity in children.;;;http://www.villazebra.nl/;"Kop van Zuid
Stieltjesstraat 21";Rotterdam;;NL;Netherlands;51.922.690;4.470.787;;4992be61-aa0c-4e11-b6b2-77485e4cc744;24 jan 2010 13:30;;;;;;;;;
YOUR Space;YOUR Space is the project space for YOUR world. ;;;http://your09.nl/;Kruiskade 9;Rotterdam;3012 EE;NL;Netherlands;51.923.263;4.477.247;;4992c0a3-31ec-4d1d-aadc-77c75e4cc744;6 mrt 2010 16:52;;;;;;;;;
de Aanschouw;A one piece gallery on the facade of De Schouw.;+31 6 41 400 927;info@aanschouw.nl;http://www.aanschouw.nl/;Witte de Withstraat 80a;Rotterdam;;NL;Netherlands;51.915.328;4.476.065;24 jul 2010;49bc3907-7b58-4e80-9338-2ab05e4cdde3;6 mrt 2010 16:34;;;;;;;;;
Hudson Museum;;;;;Hudsonstraat 61;Rotterdam;;NL;Netherlands;51.906.474;4.442.715;;49d27468-b2cc-49ac-b2d7-262d5e4cdde3;6 mrt 2010 16:38;;;;;;;;;
HB Galerie;"HBgalerie and project place. 
A place for new talent";+31(0)6 46405417;;http://www.hbgalerie.nl/;Zwaanshals 283c;Rotterdam;3035 KH;NL;Netherlands;51.932.997;4.485.879;;49d77486-35d4-46a7-b454-1b0a5e4cdde3;6 mrt 2010 16:37;;;;;;;;;
MOOSE gallery;;;;;Zwaanshals 333A;Rotterdam;3035 KK;NL;Netherlands;51.931.946;4.485.387;tue-sat 11:00-17:30;49e121e9-08b0-4502-a498-54ec5e4cdde3;6 mrt 2010 16:43;;;;;;;;;
WDW63;;;wittedewith63@gmail.com;http://wittedewith63.blogspot.com/;Witte de Withstraat 63;Rotterdam;;NL;Netherlands;51.915.414;4.476.398;;49eeca20-69d4-4064-b330-571e5e4cdde3;6 mrt 2010 16:51;;;;;;;;;
Wilfried Lentz;The gallery offers an international program of contemporary art. It represents artists, whose individual works share an interest in how our environment is formed and perceived, as well as its stories and its myths.;+31 (0)653446524;OFFICE@WILFRIEDLENTZ.COM;http://www.wilfriedlentz.com/;"Groot Handelsgebouw,
Stationsplein 45,
UNIT C 1.140";Rotterdam;3000 AC;NL;Netherlands;51.922.690;4.470.787;Thu - Sat 1:00 - 6:00 pm;49fc70ea-51cc-4538-bfec-3df25e4cdde3;6 mrt 2010 16:52;;;;;;;;;
Nederlands Fotomuseum;;+31 (0)10-2030405;info@nederlandsfotomuseum.nl;http://www.nederlandsfotomuseum.nl/;Wilhelminakade 332;Rotterdam;3072 AR;NL;Netherlands;51.906.837;4.489.202;"Tue to Fri 10:00 to 17:00 hrs
Sat and Sun 11:00 to 17:00 hrs
";4a2c1886-3f00-4c7c-add9-1e2f5e4cdde3;24 feb 2010 10:42;;;;;;;;;
ramfoundation;"ramfoundation aims:

 * To increase the interest for contemporary art for a diversity of groups of people and to deepen this
 * To promote the work of contemporary artists to these groups
 * To enforce the relationship between contemporary and society";010 - 476 76 44;info@ramfoundation.nl;http://ramfoundation.nl/;Blekerstraat 10;Rotterdam;3011 CH;NL;Netherlands;51.915.608;4.481.103;thu. to sun. 13.00 - 18.00 hrs;4a322c38-cc60-4d4e-ae4f-05fe5e4cdde3;6 mrt 2010 16:45;;;;;;;;;
Het Plafond;"a space for the arts and for culture in the home of Willem Besselink and Guus Vreeburg. Het Plafond invites artists to make a site specific installation that either sits, hangs, or is derived from the ceiling.
";+31 (0)10 4141818;info@hetplafond.org;http://www.hetplafond.org;"Gedempte Zalmhaven 761
";Rotterdam;3011 BT;NL;Netherlands;51.910.990;4.480.528;No opening hours, but always visible through a large shop window from the street.;4a380169-a0ec-4624-a8d0-57315e4cdde3;6 mrt 2010 16:38;;;;;;;;;
Maritiem Museum Rotterdam;;010 - 413 26 80;info@maritiemmuseum.nl;http://www.maritiemmuseum.nl;Leuvehaven 1;Rotterdam;3011 EA;NL;Netherlands;51.916.523;4.482.268;di t/m za: 10.00 - 17.00 zo: 11.00 - 17.00 ma: 10.00 - 17.00 (juli, augustus en schoolvakanties);4a6d8db3-de30-4ec3-b655-63da5e4cdde3;6 mrt 2010 16:42;;;;;;;;;
Museum de Dubbele Palmboom;Museum de Dubbele Palmboom is een vestiging van het Historisch Museum Rotterdam. De collectie telt over de honderdduizend voorwerpen van meest uiteenlopende aard, van schilderijen tot aan ondergoed, van barbiepop tot aan arrenslee.;010 - 476 15 33;info@hmr.rotterdam.nl;http://www.hmr.rotterdam.nl;Voorhaven 12;Rotterdam;3024 RM;NL;Netherlands;51.907.988;4.448.776;di t/m zo: 11:00 - 17:00 uur;4a6dc736-3d9c-4ea2-b90c-63da5e4cdde3;6 mrt 2010 16:44;;;;;;;;;
Grote- of St. Laurenskerk;De Grote- of St. Laurenskerk bied naast kerkdiensen en rondleidingen ook plaats voor activiteiten op het gebied van orgel- en oude muziek en een sterke ontwikkeling voor de toeristische markt, met daaraan gekoppelde educatieve projecten. Hierbij te denken aan diners en recepties, voorstellingen, tentoonstellingen, beurzen, congressen en bedrijfspresentaties.;010 - 413 14 94;laurenskerk@planet.nl;http://www.laurenskerkrotterdam.nl;Grotekerkplein 27;Rotterdam;3011 GC;NL;Netherlands;51.921.244;4.484.638;di t/m za: 10:00 uur - 16:00 uur (behoudens evenementen) zo: 13.00 uur - 16.00 uur;4a6dc737-cb20-4d0a-a345-63da5e4cdde3;6 mrt 2010 16:37;;;;;;;;;
Mariniersmuseum Rotterdam;In het Mariniersmuseum maak je kennis met de mariniers. Mariniers beschikken over een flinke dosis fysieke en mentale energie en weten dat zij tot het uiterste moeten gaan. Onder de tropenzon of in extreme kou, vaak opererend op de grens tussen land en water. Zij vormen een elitekorps dat zich heeft gespecialiseerd in amfibische operaties.;010-4129600;;http://www.mariniersmuseum.nl;Wijnhaven 7-13;Rotterdam;3011 WH;NL;Netherlands;51.918.675;4.491.740;Dinsdag t/m vrijdag 10.00 - 17.00 uur Zaterdag en zondag 11.00 - 17.00 uur;4a6dc737-00f8-4424-8716-63da5e4cdde3;13 sep 2009 09:36;;;;;;;;;
Galerie op de Rotte;;;;;Soetendaalseweg 63;Rotterdam;3068;NL;Netherlands;51.939.487;4.482.241;;4a6dd190-e760-475f-88d3-70145e4cdde3;6 mrt 2010 16:36;;;;;;;;;
Diverse Locaties;Oude Haven, Maritiemmuseum, Mariniersmuseum, Havenmuseum, Leuvenhaven.;;;;Leuvenhaven ;Rotterdam;3011 EA;NL;Netherlands;51.914.804;4.483.549;;4a6dd35e-9400-4818-802b-72635e4cdde3;21 aug 2009 13:06;;;;;;;;;
Bibliotheek IJsselmonde;Bibliotheek IJsselmonde is verhuisd. Het winkelcentrum Keizerswaard en zijn omgeving zullen de komende jaren ingrijpend veranderen. Aan de Herenwaard komt binnen drie jaar een heel nieuw plein met winkels, woningen, kantoren én een nieuwe bibliotheek. Totdat deze nieuwe locatie gereed is, bevindt Bibliotheek IJsselmonde zich tijdelijk aan de Groene Tuin 319.;;ijsselmonde@bibliotheek.rotterdam.nl;http://www.rotterdam.nl;Groene Tuin 319;Rotterdam;3078 KG;NL;Netherlands;51.888.825;4.552.895;ma. 13.00 - 20.00 uur di. t/m vr. 13.00 - 17.00 uur za. 11.00 - 14.00 uur;4a6dd394-1d20-4276-bc63-70145e4cdde3;21 aug 2009 13:03;;;;;;;;;
Belasting & Douane Museum;Het Belasting & Douane Museum is de Schatkist van het Rijk. Geen geld en juwelen, maar een juweel van een collectie over opstand, smokkel, douane en belastingen en een speciaal kinderprogramma.;;info@bdmuseum.nl;http://www.bdmuseum.nl;Parklaan 14-16;Rotterdam;3016 BB;NL;Netherlands;51.907.761;4.476.382;di. t/m do. 11.00 - 17.00 uur;4a6dd395-7b14-47d1-8df8-70145e4cdde3;21 aug 2009 13:03;;;;;;;;;
Bibliotheek Beverwaard;;010-4791287;beverwaard@bibliotheek.rotterdam.nl;;Oude Watering  324;Rotterdam;3077 RE;NL;Netherlands;51.892.156;4.566.123;ma: 14.00 - 17.00 en 18.00 - 20.00 uur  di: 14.00 - 17.00 uur  wo: 14.00 - 17.00 uur  do: 14.00 - 17.00 uur  vr: 14.00 - 17.00 uur  za: gesloten  zo: gesloten;4a6defc9-4f74-43f7-be64-70145e4cdde3;21 aug 2009 13:03;;;;;;;;;
Centrale Bibliotheek Rotterdam;Bibliotheek Rotterdam bestaat uit de Centrale Bibliotheek en 23 vestigingen. De bibliotheek trekt jaarlijks zo'n 3,4 miljoen bezoekers en is hiermee de meest populaire instelling van Rotterdam. Met 24.000 m2 is de Centrale Bibliotheek de grootste bibliotheek van Nederland.;;communicatie@bibliotheek.rotterdam.nl;http://www.bibliotheek.rotterdam.nl;Hoogstraat 110;Rotterdam;3011 PV;NL;Netherlands;51.921.462;4.488.556;ma. 13.00 - 20.00 uur di. t/m vr. 10.00 - 20.00 uur za. 10.00 - 17.00 uur zo. 13.00 - 17.00 uur;4a6defc9-bb84-437e-8b49-70145e4cdde3;6 mrt 2010 16:32;;;;;;;;;
Oorlogs Verzets Museum R'dam;De collectie over de Tweede Wereldoorlog is in de loop der jaren gegroeid tot enkele duizenden objecten. Het accent van de vaste opstelling is komen te liggen op Rotterdam en regio tijdens de Tweede Wereldoorlog. Het museum heeft een uitgebreide collectie van voorwerpen, kleding, foto's en affiches uit de periode 1940 - '45.;010 - 484 89 31;info@ovmrotterdam.nl;http://www.ovmrotterdam.nl;Coolhaven 375 375;Rotterdam;3015 GC;NL;Netherlands;51.907.856;4.453.448;di. t/m vr. 10.00 - 17.00 uur  zo. 12.00 - 17.00 uur;4a6df376-4fa4-45c2-9631-742f5e4cdde3;13 sep 2009 09:31;;;;;;;;;
Museum voor Keramiek - Pablo Rueda Lara;Pablo Reuda Lara, geboren 30 juli 1945 te Castillo de Locubin in Andalusië, Spanje. In 1969 kwam hij naar Rotterdam. Hij kreeg daar zijn Kunstzinnige vorming aan de Academie voor Beeldende Kunsten, waar hij de opleiding 'Tekenen en Schilderen' volgde. Tijdens deze opleiding kreeg hij steeds meer belangstelling voor keramiek. En zo studeerde hij in 1976 af in Monumentale Vormgeving.;010 - 476 02 83;pablo.rueda.lara@chello.nl;http://www.pabloruedalara.com;Aelbrechtskolk 10;Rotterdam;3024 RE;NL;Netherlands;51.908.918;4.448.830;za: 13:00 - 17:00 uur zo: 13:00 - 17:00 uur (en op afspraak);4a6df397-3fd4-4688-aae6-59045e4cdde3;6 mrt 2010 16:44;;;;;;;;;
Vlaggenmuseum;Op de Boompjesboulevard wapperen 230 vlaggen mét verlichting op de Internationale Vlaggenparade, waarvan 180 vlaggen van alle nationaliteiten die in ons land verblijven en 50 vlaggen van sponsors. Rotterdam roept hiermee een welkom toe aan alle mensen die in ons land - en zeker in Rotterdam als internationale stad - willen werken. Ze worden allen met hun eigen vlag welkom geheten.;010 - 452 80 98;info@vlaggenmuseum.nl;http://www.vlaggenmuseum.nl;vanaf 'de Boeg' aan de voet van de Erasmusbrug tot de verlengde Willemsbrug.  ;Rotterdam;3011 XD;NL;Netherlands;51.913.382;4.485.726;;4a6dfa51-e718-456f-b6c7-59045e4cdde3;21 aug 2009 13:09;;;;;;;;;
Nationaal Onderwijsmuseum;Bij een bezoek aan het museum kunnen bezoekers onder andere zien en ervaren hoe kinderen vanaf 1200 in Nederland naar school gingen. In de vaste tentoonstelling van het museum wordt aan de hand van zes klaslokalen in beeld gebracht hoe de Lagere School in Nederland is ontstaan en zich ontwikkeld heeft tot de huidige basisschool.;010 - 404 54 25;info@onderwijsmuseum.nl;http://www.schoolmuseum.nl;Nieuwemarkt 1;Rotterdam;3011 HP;NL;Netherlands;51.922.646;4.487.684;Dinsdag - zaterdag: 10.00-17.00 uur  Zondag 11.00-17.00 uur;4a6dfa68-6a48-446c-a128-63da5e4cdde3;21 aug 2009 13:07;;;;;;;;;
Havenmuseum;;010-4048072;info@havenmuseum.nl;http://www.havenmuseum.nl;Leuvehaven 50;Rotterdam;3011 EA;NL;Netherlands;51.916.496;4.482.524;Aanvangstijd: Di. t/m vr. 10.00-17.00za., zo. en fd. 11.00 - 17.00;4a6dfb0f-85a0-430c-b5f2-63d95e4cdde3;13 sep 2009 09:35;;;;;;;;;
Scheepswerf De Delft;In Rotterdam wordt nu op Scheepswerf 'De Delft' dit prachtige 18e eeuwse schip herbouwd. Bij ieder bezoek aan de werf ziet u het schip groeien tot haar imposante lengte van 63 meter.;;;;Schiehaven  15;Rotterdam;3024 EC;NL;Netherlands;51.902.920;4.455.192;dinsdag t/m vrijdag 10.00 - 16.00 uur za, zo en feestdagen 11.00 - 17.00 uur;4a6e0d49-10b0-4b3b-96f8-70155e4cdde3;21 aug 2009 13:08;;;;;;;;;
Houweling Telecom Museum;Het museum is in 1974 gestart en herbergt de geschiedenis van de regio Rotterdam op het gebied van telecomunicatie. De vele facetten zijn tot uiting gebracht in apparatuur,woord,beeld en geluid. Een aantal enthousiaste voornamelijk oud medewerkers van KPN werken aan de uitbouw van het museum.;;;;Vlaggemanstraat  15;Rotterdam;3038 LA;NL;Netherlands;51.932.621;4.468.117;Dinsdag 9.00 - 15.00 uur;4a6e0e12-1364-49aa-9de7-74305e4cdde3;21 aug 2009 13:07;;;;;;;;;
Rotterdams Radio Museum;De stichting Rotterdams Radio Museum is in november 1998 opgericht door de oud-directeur van Correct, de heer H. de Jong. Samen met branchegenoot Peter Ivens (oud-directeur Modern en Grundig Nederland) vormt hij het bestuur van de Stichting Rotterdams Radio Museum. Ook zijn er ook een groot aantal vrijwilligers bijna dagelijks bzig aan het onderhouden en presenteren de collectie.;010-4618585;;http://www.correct.com/museum;Ceintuurbaan 104;Rotterdam;3067 GM;NL;Netherlands;51.942.340;4.479.981;dinsdag t/m vrijdag 13:00 tot 16:00 uur  zaterdag en zondag 13:00 tot 17:00 uur;4a6e0e2a-6b48-4320-94db-70155e4cdde3;13 sep 2009 09:31;;;;;;;;;
Snuif en Specerijen molens;;010 521 67 59;;http://www.snuifmolens.nl; ;Rotterdam;3011 JD;NL;Netherlands;51.931.402;4.521.389;Elke tweede zaterdag van de maand: 10.00 tot 16.00 uur. Al de molens draaien meestal op woensdag en donderdag. Op afspraak: 010 521 67 59.;4a6e0e3b-2c94-456b-acd9-742e5e4cdde3;13 sep 2009 09:30;;;;;;;;;
Centraal Station Rotterdam;;;;;Stationssingel 10;Rotterdam;3013 HA;NL;Netherlands;51.925.631;4.466.779;;4b0dfdbd-1be8-4a82-a6b5-7012c3165e35;24 jan 2010 12:40;;;;;;;;;
